,Name,ShortName,TeamName,TeamShortName,SkillName,IS_FP,Value
106,Manish Pandey,Manish Pandey,Delhi Capitals,DC,BATSMAN,0,8
107,Mohsin Khan,Mohsin Khan,Lucknow Super Giants,LSG,BOWLER,0,8
108,Ajinkya Rahane,Ajinkya Rahane,Chennai Super Kings,CSK,BATSMAN,0,8
109,Srikar Bharat,Srikar Bharat,Gujarat Titans,GT,WICKET KEEPER,0,8
110,Alzarri Joseph,Alzarri Joseph,Gujarat Titans,GT,BOWLER,1,8
111,Dinesh Karthik,Dinesh Karthik,Royal Challengers Bangalore,RCB,WICKET KEEPER,0,8
112,Rajat Patidar,Rajat Patidar,Royal Challengers Bangalore,RCB,BATSMAN,0,8
113,Wriddhiman Saha,Wriddhiman Saha,Gujarat Titans,GT,WICKET KEEPER,0,8
114,Matthew Wade,Matthew Wade,Gujarat Titans,GT,WICKET KEEPER,1,8
115,Shivam Mavi,Shivam Mavi,Gujarat Titans,GT,BOWLER,0,8
116,Romario Shepherd,Romario Shepherd,Lucknow Super Giants,LSG,ALL ROUNDER,1,7.5
117,Krishnappa Gowtham,Krishnappa Gowtham,Lucknow Super Giants,LSG,ALL ROUNDER,0,7.5
118,Tristan Stubbs,Tristan Stubbs,Mumbai Indians,MI,BATSMAN,1,7.5
119,Kumar Kartikeya,Kumar Kartikeya,Mumbai Indians,MI,BOWLER,0,7.5
120,Ishant Sharma,Ishant Sharma,Delhi Capitals,DC,BOWLER,0,7.5
121,Amit Mishra,Amit Mishra,Lucknow Super Giants,LSG,BOWLER,0,7.5
122,David Willey,David Willey,Royal Challengers Bangalore,RCB,BOWLER,1,7.5
123,Fazalhaq Farooqi,Fazalhaq Farooqi,Sunrisers Hyderabad,SRH,BOWLER,1,7.5
124,Lalit Yadav,Lalit Yadav,Delhi Capitals,DC,ALL ROUNDER,0,7.5
125,Murugan Ashwin,Murugan Ashwin,Rajasthan Royals,RR,BOWLER,0,7.5
126,David Wiese,David Wiese,Kolkata Knight Riders,KKR,ALL ROUNDER,1,7.5
127,Jayant Yadav,Jayant Yadav,Gujarat Titans,GT,BOWLER,0,7.5
128,Mohit Sharma,Mohit Sharma,Gujarat Titans,GT,BOWLER,0,7.5
129,Shahrukh Khan,Shahrukh Khan,Punjab Kings,PBKS,BATSMAN,0,7.5
130,Ayush Badoni,Ayush Badoni,Lucknow Super Giants,LSG,BATSMAN,0,7.5
131,Kyle Jamieson,Kyle Jamieson,Chennai Super Kings,CSK,BOWLER,1,7.5
132,Navdeep Saini,Navdeep Saini,Rajasthan Royals,RR,BOWLER,0,7.5
